#{"t_start": 1730994563.2698402, "env_id": "None"}
r,l,t
-1000.0,1,0.894001
-1000.0,1,0.894748
-1000.0,1,0.89537
-1000.0,1,0.895941
-1000.0,1,0.89651
-1000.0,1,0.89708
-1000.0,1,0.897635
-1000.0,1,0.898278
-1000.0,1,0.899114
-1000.0,1,0.899834
-1000.0,1,0.900425
-1000.0,1,0.901019
-1000.0,1,0.901594
-1000.0,1,0.902225
-1000.0,1,0.902818
-1000.0,1,0.903544
-1000.0,1,0.904277
-1000.0,1,0.904884
-1000.0,1,0.905443
-1000.0,1,0.906082
-1000.0,1,0.906921
-1000.0,1,0.907634
-1000.0,1,0.908349
-1000.0,1,0.909148
-1000.0,1,0.909997
-1000.0,1,0.910733
-1000.0,1,0.911378
-1000.0,1,0.912039
-1000.0,1,0.913064
-1000.0,1,0.914017
-1000.0,1,0.915049
-1000.0,1,0.91593
-1000.0,1,0.916825
-1000.0,1,0.917863
-1000.0,1,0.919268
-1000.0,1,0.920155
-1000.0,1,0.92116
-1000.0,1,0.921892
-1000.0,1,0.922519
-1000.0,1,0.923262
-1000.0,1,0.924085
-1000.0,1,0.924829
-1000.0,1,0.925514
-1000.0,1,0.926183
-1000.0,1,0.927032
-1000.0,1,0.927783
-1000.0,1,0.928396
-1000.0,1,0.928983
-1000.0,1,0.929711
-1000.0,1,0.930871
-1000.0,1,0.931784
-1000.0,1,0.932751
-1000.0,1,0.933655
-1000.0,1,0.934618
-1000.0,1,0.935838
-1000.0,1,0.936884
-1000.0,1,0.93777
-1000.0,1,0.938561
-1000.0,1,0.939291
-1000.0,1,0.940372
-1000.0,1,0.941215
-1000.0,1,0.941957
-1000.0,1,0.94258
-1000.0,1,0.943337
-1000.0,1,0.944298
-1000.0,1,0.945039
-1000.0,1,0.945678
-1000.0,1,0.946627
-1000.0,1,0.94775
-1000.0,1,0.948522
-1000.0,1,0.949224
-1000.0,1,0.950193
-1000.0,1,0.951427
-1000.0,1,0.952786
-1000.0,1,0.95386
-1000.0,1,0.954916
-1000.0,1,0.955854
-1000.0,1,0.956833
-1000.0,1,0.957849
-1000.0,1,0.958616
-1000.0,1,0.959549
-1000.0,1,0.960403
-1000.0,1,0.961185
-1000.0,1,0.962059
-1000.0,1,0.962751
-1000.0,1,0.963391
-1000.0,1,0.964223
-1000.0,1,0.965216
-1000.0,1,0.966021
-1000.0,1,0.966754
-1000.0,1,0.967807
-1000.0,1,0.968924
-1000.0,1,0.970294
-1000.0,1,0.971617
-1000.0,1,0.972763
-1000.0,1,0.97404
-1000.0,1,0.975101
-1000.0,1,0.976132
-1000.0,1,0.977027
-1000.0,1,0.977838
-1000.0,1,0.978631
-1000.0,1,0.979388
-1000.0,1,0.98025
-1000.0,1,0.981341
-1000.0,1,0.982412
-1000.0,1,0.983431
-1000.0,1,0.984421
-1000.0,1,0.985365
-1000.0,1,0.986771
-1000.0,1,0.988161
-1000.0,1,0.989228
-1000.0,1,0.990315
-1000.0,1,0.991316
-1000.0,1,0.99229
-1000.0,1,0.993319
-1000.0,1,0.994137
-1000.0,1,0.994941
-1000.0,1,0.9957
-1000.0,1,0.996405
-1000.0,1,0.997083
-1000.0,1,0.998015
-1000.0,1,0.999599
-1000.0,1,1.000952
-1000.0,1,1.001888
-1000.0,1,1.00289
-1000.0,1,1.004385
-1000.0,1,1.005544
-1000.0,1,1.006621
-1000.0,1,1.007814
-1000.0,1,1.008706
-1000.0,1,1.00957
-1000.0,1,1.010368
-1000.0,1,1.011274
-1000.0,1,1.012147
-1000.0,1,1.012882
-1000.0,1,1.013791
-1000.0,1,1.015213
-1000.0,1,1.016237
-1000.0,1,1.017289
-1000.0,1,1.019094
-1000.0,1,1.021108
-1000.0,1,1.023305
-1000.0,1,1.02529
-1000.0,1,1.026886
-1000.0,1,1.028869
-1000.0,1,1.030693
-1000.0,1,1.032606
-1000.0,1,1.035535
-1000.0,1,1.038668
-1000.0,1,1.040471
-1000.0,1,1.041995
-1000.0,1,1.043668
-1000.0,1,1.045684
-1000.0,1,1.046896
-1000.0,1,1.048618
-1000.0,1,1.050277
-1000.0,1,1.051366
-1000.0,1,1.052288
-1000.0,1,1.053044
-1000.0,1,1.053868
-1000.0,1,1.05474
-1000.0,1,1.055512
-1000.0,1,1.056482
-1000.0,1,1.057791
-1000.0,1,1.058748
-1000.0,1,1.059593
-1000.0,1,1.060351
-1000.0,1,1.061081
-1000.0,1,1.061812
-1000.0,1,1.062469
-1000.0,1,1.063106
-1000.0,1,1.064124
-1000.0,1,1.065189
-1000.0,1,1.065907
-1000.0,1,1.066535
-1000.0,1,1.067155
-1000.0,1,1.067775
-1000.0,1,1.068376
-1000.0,1,1.068977
-1000.0,1,1.069578
-1000.0,1,1.070229
-1000.0,1,1.070971
-1000.0,1,1.071846
-1000.0,1,1.072495
-1000.0,1,1.073252
-1000.0,1,1.074439
-1000.0,1,1.075741
-1000.0,1,1.077075
-1000.0,1,1.078166
-1000.0,1,1.079342
-1000.0,1,1.08058
-1000.0,1,1.082134
-1000.0,1,1.08378
-1000.0,1,1.084988
-1000.0,1,1.086363
-1000.0,1,1.087453
-1000.0,1,1.088341
-1000.0,1,1.089778
-1000.0,1,1.091829
-1000.0,1,1.093134
-1000.0,1,1.094169
-1000.0,1,1.09555
-1000.0,1,1.097088
-1000.0,1,1.098483
-1000.0,1,1.099597
-1000.0,1,1.100519
-1000.0,1,1.101639
-1000.0,1,1.102646
-1000.0,1,1.103544
-1000.0,1,1.104414
-1000.0,1,1.10516
-1000.0,1,1.105927
-1000.0,1,1.107285
-1000.0,1,1.108443
-1000.0,1,1.109581
-1000.0,1,1.110562
-1000.0,1,1.111857
-1000.0,1,1.113311
-1000.0,1,1.1148
-1000.0,1,1.115996
-1000.0,1,1.116881
-1000.0,1,1.118162
-1000.0,1,1.11904
-1000.0,1,1.120009
-1000.0,1,1.120833
-1000.0,1,1.121688
-1000.0,1,1.122557
-1000.0,1,1.123746
-1000.0,1,1.125206
-1000.0,1,1.12632
-1000.0,1,1.127438
-1000.0,1,1.129047
-1000.0,1,1.130637
-1000.0,1,1.131853
-1000.0,1,1.132899
-1000.0,1,1.134024
-1000.0,1,1.135046
-1000.0,1,1.136006
-1000.0,1,1.136797
-1000.0,1,1.137511
-1000.0,1,1.138227
-1000.0,1,1.138968
-1000.0,1,1.140424
-1000.0,1,1.141708
-1000.0,1,1.14284
-1000.0,1,1.144408
-1000.0,1,1.14638
-1000.0,1,1.14787
-1000.0,1,1.149015
-1000.0,1,1.15008
-1000.0,1,1.150897
-1000.0,1,1.151772
-1000.0,1,1.152555
-1000.0,1,1.153243
-1000.0,1,1.153991
-1000.0,1,1.154744
-1000.0,1,1.155635
-1000.0,1,1.156622
-1000.0,1,1.158026
-1000.0,1,1.159165
-1000.0,1,1.160628
-1000.0,1,1.162414
-1000.0,1,1.164026
-1000.0,1,1.16513
-1000.0,1,1.16642
-1000.0,1,1.16735
-1000.0,1,1.168225
-1000.0,1,1.168969
-1000.0,1,1.169635
-1000.0,1,1.170298
-1000.0,1,1.170967
-1000.0,1,1.171861
-1000.0,1,1.172688
-1000.0,1,1.174015
-1000.0,1,1.175201
-1000.0,1,1.176516
-1000.0,1,1.177897
-1000.0,1,1.179675
-1000.0,1,1.18089
-1000.0,1,1.181862
-1000.0,1,1.183015
-1000.0,1,1.184278
-1000.0,1,1.185152
-1000.0,1,1.185915
-1000.0,1,1.186612
-1000.0,1,1.18731
-1000.0,1,1.188059
-1000.0,1,1.188816
-1000.0,1,1.190181
-1000.0,1,1.191899
-1000.0,1,1.193196
-1000.0,1,1.194776
-1000.0,1,1.196855
-1000.0,1,1.197903
-1000.0,1,1.198749
-1000.0,1,1.199672
-1000.0,1,1.200948
-1000.0,1,1.201787
-1000.0,1,1.202553
-1000.0,1,1.203294
-1000.0,1,1.203981
-1000.0,1,1.204647
-1000.0,1,1.205331
-1000.0,1,1.206218
-1000.0,1,1.207904
-1000.0,1,1.20911
-1000.0,1,1.210465
-1000.0,1,1.212314
-1000.0,1,1.213745
-1000.0,1,1.214855
-1000.0,1,1.21613
-1000.0,1,1.216958
-1000.0,1,1.217643
-1000.0,1,1.218334
-1000.0,1,1.21902
-1000.0,1,1.219687
-1000.0,1,1.220421
-1000.0,1,1.221651
-1000.0,1,1.222908
-1000.0,1,1.22475
-1000.0,1,1.226045
-1000.0,1,1.227188
-1000.0,1,1.228488
-1000.0,1,1.230118
-1000.0,1,1.231338
-1000.0,1,1.232438
-1000.0,1,1.233357
-1000.0,1,1.234449
-1000.0,1,1.235227
-1000.0,1,1.235916
-1000.0,1,1.236597
-1000.0,1,1.237269
-1000.0,1,1.238173
-1000.0,1,1.239255
-1000.0,1,1.240851
-1000.0,1,1.242164
-1000.0,1,1.243264
-1000.0,1,1.244539
-1000.0,1,1.24582
-1000.0,1,1.247189
-1000.0,1,1.24831
-1000.0,1,1.249556
-1000.0,1,1.250847
-1000.0,1,1.251819
-1000.0,1,1.252614
-1000.0,1,1.253332
-1000.0,1,1.254032
-1000.0,1,1.254738
-1000.0,1,1.2555
-1000.0,1,1.256634
-1000.0,1,1.258272
-1000.0,1,1.259639
-1000.0,1,1.260876
-1000.0,1,1.26217
-1000.0,1,1.263224
-1000.0,1,1.264873
-1000.0,1,1.266631
-1000.0,1,1.267661
-1000.0,1,1.268456
-1000.0,1,1.269167
-1000.0,1,1.269867
-1000.0,1,1.27064
-1000.0,1,1.271445
-1000.0,1,1.272375
-1000.0,1,1.273806
-1000.0,1,1.274846
-1000.0,1,1.276053
-1000.0,1,1.277213
-1000.0,1,1.278418
-1000.0,1,1.279657
-1000.0,1,1.280738
-1000.0,1,1.282115
-1000.0,1,1.283291
-1000.0,1,1.284064
-1000.0,1,1.284751
-1000.0,1,1.285421
-1000.0,1,1.286088
-1000.0,1,1.286768
-1000.0,1,1.287753
-1000.0,1,1.288635
-1000.0,1,1.289485
-1000.0,1,1.290637
-1000.0,1,1.291669
-1000.0,1,1.292681
-1000.0,1,1.293939
-1000.0,1,1.295113
-1000.0,1,1.296108
-1000.0,1,1.297147
-1000.0,1,1.298209
-1000.0,1,1.299346
-1000.0,1,1.300517
-1000.0,1,1.301471
-1000.0,1,1.302229
-1000.0,1,1.302947
-1000.0,1,1.303734
-1000.0,1,1.304496
-1000.0,1,1.305186
-1000.0,1,1.306202
-1000.0,1,1.307673
-1000.0,1,1.30879
-1000.0,1,1.309895
-1000.0,1,1.311096
-1000.0,1,1.312432
-1000.0,1,1.313546
-1000.0,1,1.314678
-1000.0,1,1.31582
-1000.0,1,1.316567
-1000.0,1,1.317251
-1000.0,1,1.318056
-1000.0,1,1.318792
-1000.0,1,1.319563
-1000.0,1,1.320307
-1000.0,1,1.32104
-1000.0,1,1.321765
-1000.0,1,1.322439
-1000.0,1,1.323586
-1000.0,1,1.324799
-1000.0,1,1.325739
-1000.0,1,1.326638
-1000.0,1,1.327806
