#{"t_start": 1731492077.6792629, "env_id": "None"}
r,l,t
-1000.0,1,0.825171
-1000.0,1,0.825851
-1000.0,1,0.826389
-1000.0,1,0.826967
-1000.0,1,0.827515
-1000.0,1,0.828004
-1000.0,1,0.828614
-1000.0,1,0.829294
-1000.0,1,0.82999
-1000.0,1,0.830686
-1000.0,1,0.831369
-1000.0,1,0.832046
-1000.0,1,0.832711
-1000.0,1,0.833363
-1000.0,1,0.83403
-1000.0,1,0.834696
-1000.0,1,0.835577
-1000.0,1,0.83686
-1000.0,1,0.837808
-1000.0,1,0.83856
-1000.0,1,0.83927
-1000.0,1,0.840463
-1000.0,1,0.842421
-1000.0,1,0.84362
-1000.0,1,0.844749
-1000.0,1,0.845653
-1000.0,1,0.846551
-1000.0,1,0.84725
-1000.0,1,0.847881
-1000.0,1,0.848608
-1000.0,1,0.849591
-1000.0,1,0.850495
-1000.0,1,0.851285
-1000.0,1,0.8526
-1000.0,1,0.853879
-1000.0,1,0.855101
-1000.0,1,0.856076
-1000.0,1,0.856705
-1000.0,1,0.857292
-1000.0,1,0.858028
-1000.0,1,0.858781
-1000.0,1,0.859493
-1000.0,1,0.860213
-1000.0,1,0.860969
-1000.0,1,0.861677
-1000.0,1,0.862332
-1000.0,1,0.862941
-1000.0,1,0.863878
-1000.0,1,0.864993
-1000.0,1,0.865943
-1000.0,1,0.86675
-1000.0,1,0.867671
-1000.0,1,0.868897
-1000.0,1,0.870293
-1000.0,1,0.871186
-1000.0,1,0.871818
-1000.0,1,0.872399
-1000.0,1,0.872989
-1000.0,1,0.873621
-1000.0,1,0.874315
-1000.0,1,0.875024
-1000.0,1,0.875738
-1000.0,1,0.876424
-1000.0,1,0.87725
-1000.0,1,0.877913
-1000.0,1,0.878528
-1000.0,1,0.879288
-1000.0,1,0.880475
-1000.0,1,0.881555
-1000.0,1,0.882483
-1000.0,1,0.883418
-1000.0,1,0.884597
-1000.0,1,0.885798
-1000.0,1,0.886885
-1000.0,1,0.887556
-1000.0,1,0.888152
-1000.0,1,0.888736
-1000.0,1,0.889307
-1000.0,1,0.889864
-1000.0,1,0.890432
-1000.0,1,0.89106
-1000.0,1,0.891844
-1000.0,1,0.892688
-1000.0,1,0.893432
-1000.0,1,0.89423
-1000.0,1,0.894928
-1000.0,1,0.895571
-1000.0,1,0.8962
-1000.0,1,0.897162
-1000.0,1,0.898168
-1000.0,1,0.899205
-1000.0,1,0.900406
-1000.0,1,0.901555
-1000.0,1,0.902816
-1000.0,1,0.904206
-1000.0,1,0.905001
-1000.0,1,0.905664
-1000.0,1,0.906294
-1000.0,1,0.906942
-1000.0,1,0.907673
-1000.0,1,0.908386
-1000.0,1,0.909057
-1000.0,1,0.909892
-1000.0,1,0.910781
-1000.0,1,0.911533
-1000.0,1,0.912215
-1000.0,1,0.913016
-1000.0,1,0.914073
-1000.0,1,0.915168
-1000.0,1,0.916019
-1000.0,1,0.91697
-1000.0,1,0.91811
-1000.0,1,0.919251
-1000.0,1,0.920275
-1000.0,1,0.921235
-1000.0,1,0.922025
-1000.0,1,0.922702
-1000.0,1,0.923346
-1000.0,1,0.924062
-1000.0,1,0.924774
-1000.0,1,0.925489
-1000.0,1,0.926166
-1000.0,1,0.927126
-1000.0,1,0.92796
-1000.0,1,0.928662
-1000.0,1,0.929375
-1000.0,1,0.930686
-1000.0,1,0.931636
-1000.0,1,0.932502
-1000.0,1,0.933797
-1000.0,1,0.935071
-1000.0,1,0.936307
-1000.0,1,0.937109
-1000.0,1,0.937777
-1000.0,1,0.938435
-1000.0,1,0.939227
-1000.0,1,0.939937
-1000.0,1,0.94066
-1000.0,1,0.94141
-1000.0,1,0.942142
-1000.0,1,0.942837
-1000.0,1,0.943619
-1000.0,1,0.944391
-1000.0,1,0.945181
-1000.0,1,0.945944
-1000.0,1,0.946997
-1000.0,1,0.947913
-1000.0,1,0.948722
-1000.0,1,0.949672
-1000.0,1,0.950868
-1000.0,1,0.952307
-1000.0,1,0.953319
-1000.0,1,0.954009
-1000.0,1,0.954659
-1000.0,1,0.955289
-1000.0,1,0.955912
-1000.0,1,0.956551
-1000.0,1,0.957193
-1000.0,1,0.958115
-1000.0,1,0.958886
-1000.0,1,0.959596
-1000.0,1,0.960353
-1000.0,1,0.961143
-1000.0,1,0.961846
-1000.0,1,0.962496
-1000.0,1,0.963182
-1000.0,1,0.964289
-1000.0,1,0.965222
-1000.0,1,0.966012
-1000.0,1,0.966974
-1000.0,1,0.968109
-1000.0,1,0.96919
-1000.0,1,0.970404
-1000.0,1,0.971097
-1000.0,1,0.971714
-1000.0,1,0.972331
-1000.0,1,0.972934
-1000.0,1,0.973562
-1000.0,1,0.974285
-1000.0,1,0.975071
-1000.0,1,0.975774
-1000.0,1,0.976404
-1000.0,1,0.977147
-1000.0,1,0.977852
-1000.0,1,0.978477
-1000.0,1,0.979102
-1000.0,1,0.980078
-1000.0,1,0.981213
-1000.0,1,0.982103
-1000.0,1,0.982992
-1000.0,1,0.983956
-1000.0,1,0.985341
-1000.0,1,0.986619
-1000.0,1,0.987589
-1000.0,1,0.988353
-1000.0,1,0.989046
-1000.0,1,0.989744
-1000.0,1,0.990414
-1000.0,1,0.991209
-1000.0,1,0.991958
-1000.0,1,0.992687
-1000.0,1,0.99353
-1000.0,1,0.994394
-1000.0,1,0.995117
-1000.0,1,0.995798
-1000.0,1,0.996746
-1000.0,1,0.997745
-1000.0,1,0.998938
-1000.0,1,1.00006
-1000.0,1,1.001208
-1000.0,1,1.002386
-1000.0,1,1.003502
-1000.0,1,1.004338
-1000.0,1,1.005067
-1000.0,1,1.005743
-1000.0,1,1.006392
-1000.0,1,1.007095
-1000.0,1,1.007862
-1000.0,1,1.008598
-1000.0,1,1.009302
-1000.0,1,1.010154
-1000.0,1,1.01099
-1000.0,1,1.011685
-1000.0,1,1.012364
-1000.0,1,1.013093
-1000.0,1,1.014083
-1000.0,1,1.015027
-1000.0,1,1.016472
-1000.0,1,1.017666
-1000.0,1,1.018802
-1000.0,1,1.020057
-1000.0,1,1.020859
-1000.0,1,1.021557
-1000.0,1,1.02232
-1000.0,1,1.023059
-1000.0,1,1.023719
-1000.0,1,1.024493
-1000.0,1,1.025236
-1000.0,1,1.025957
-1000.0,1,1.026692
-1000.0,1,1.027523
-1000.0,1,1.028347
-1000.0,1,1.029101
-1000.0,1,1.029795
-1000.0,1,1.030699
-1000.0,1,1.031707
-1000.0,1,1.032612
-1000.0,1,1.033636
-1000.0,1,1.035069
-1000.0,1,1.036206
