#{"t_start": 1731492024.067815, "env_id": "None"}
r,l,t
-1000.0,1,1.758507
-1000.0,1,1.759738
-1000.0,1,1.760701
-1000.0,1,1.761551
-1000.0,1,1.762269
-1000.0,1,1.76298
-1000.0,1,1.763758
-1000.0,1,1.764596
-1000.0,1,1.765458
-1000.0,1,1.76658
-1000.0,1,1.767546
-1000.0,1,1.768479
-1000.0,1,1.769948
-1000.0,1,1.771638
-1000.0,1,1.773057
-1000.0,1,1.774132
-1000.0,1,1.774922
-1000.0,1,1.776023
-1000.0,1,1.777036
-1000.0,1,1.777855
-1000.0,1,1.778588
-1000.0,1,1.779299
-1000.0,1,1.780001
-1000.0,1,1.780701
-1000.0,1,1.781508
-1000.0,1,1.782368
-1000.0,1,1.783408
-1000.0,1,1.784501
-1000.0,1,1.785375
-1000.0,1,1.786598
-1000.0,1,1.788286
-1000.0,1,1.789742
-1000.0,1,1.790899
-1000.0,1,1.791666
-1000.0,1,1.792464
-1000.0,1,1.793744
-1000.0,1,1.794712
-1000.0,1,1.795552
-1000.0,1,1.796271
-1000.0,1,1.796989
-1000.0,1,1.797716
-1000.0,1,1.798513
-1000.0,1,1.799762
-1000.0,1,1.800787
-1000.0,1,1.801978
-1000.0,1,1.803249
-1000.0,1,1.804607
-1000.0,1,1.806372
-1000.0,1,1.807257
-1000.0,1,1.808017
-1000.0,1,1.809206
-1000.0,1,1.810145
-1000.0,1,1.810965
-1000.0,1,1.811863
-1000.0,1,1.812708
-1000.0,1,1.81347
-1000.0,1,1.814144
-1000.0,1,1.814911
-1000.0,1,1.815806
-1000.0,1,1.817349
-1000.0,1,1.819155
-1000.0,1,1.820445
-1000.0,1,1.821993
-1000.0,1,1.823403
-1000.0,1,1.82505
-1000.0,1,1.825926
-1000.0,1,1.826715
-1000.0,1,1.828011
-1000.0,1,1.829224
-1000.0,1,1.830206
-1000.0,1,1.831362
-1000.0,1,1.832832
-1000.0,1,1.834208
-1000.0,1,1.835543
-1000.0,1,1.836957
-1000.0,1,1.838342
-1000.0,1,1.839973
-1000.0,1,1.84089
-1000.0,1,1.841681
-1000.0,1,1.842872
-1000.0,1,1.844171
-1000.0,1,1.845033
-1000.0,1,1.845797
-1000.0,1,1.846493
-1000.0,1,1.847163
-1000.0,1,1.84784
-1000.0,1,1.848881
-1000.0,1,1.850573
-1000.0,1,1.852505
-1000.0,1,1.854625
-1000.0,1,1.856786
-1000.0,1,1.858143
-1000.0,1,1.859602
-1000.0,1,1.860908
-1000.0,1,1.862106
-1000.0,1,1.863595
-1000.0,1,1.865017
-1000.0,1,1.866837
-1000.0,1,1.868724
-1000.0,1,1.870686
-1000.0,1,1.872707
-1000.0,1,1.874074
-1000.0,1,1.875284
-1000.0,1,1.87642
-1000.0,1,1.877556
-1000.0,1,1.878765
-1000.0,1,1.880215
-1000.0,1,1.88147
-1000.0,1,1.883038
-1000.0,1,1.885279
-1000.0,1,1.887286
-1000.0,1,1.889318
-1000.0,1,1.891327
-1000.0,1,1.892997
